caption,url,helsinki_translation,madlad_translation,phi_translation,dataset_similarity,similarity_helsinki,similarity_madlad,similarity_phi
Donna Sharp Cell Phone Wristlet,https://media.kohlsimg.com/is/image/kohls/2059581_Monaco?wid=240&hei=240&op_sharpen=1,Donna Sharp Phone Wristlet,Donna Sharp Bracciale per cellulare,'Borsa da cellulare per donna',0.3138870596885681,0.33744147419929504,0.35978713631629944,0.5684200525283813
A Northern York County Regional Police Officer comforts a women who arrived at the scene of a fatal crash on Thursday morning in Conewago Township. The crash involved a station wagon and a school bus. No students were injured in the crash.,https://www.gannett-cdn.com/presto/2019/01/31/PPYR/09ef2b0b-c01b-487c-87b8-f283203adc53-YDR-TL-013119-BusCrash01.JPG?width=540&height=&fit=bounds&auto=webp,Un agente di polizia regionale della contea di Northern York conforta le donne che sono arrivate sulla scena di un incidente mortale il giovedì mattina a Conewago Township. L'incidente ha coinvolto una station wagon e uno scuolabus. Nessun studente è stato ferito nell'incidente.,Un ufficiale della polizia regionale della contea di York del nord conforta una donna che è arrivata sulla scena di un incidente mortale giovedì mattina a Conewago Township. L'incidente ha coinvolto una station wagon e uno scuolabus.,Un ufficiale di polizia della contea del Nord di York consola una donna che si è arrivata al sito di un incidente mortale di Thursday mattina nella township di Conewago. L'incidente coinvolgeva una station wagon e un autobus scolastico. Non sono stati feriti alcun studente nell'incidente.,0.321128249168396,0.5450162291526794,0.566723108291626,0.5700579881668091
Gold Carrie Necklace,https://cdn.shopify.com/s/files/1/1607/4913/products/Gold_Carrie_Necklace_1024x1024.jpg?v=1550520979,Collana Carrie d'oro,Collana in oro Carrie,'Collarino in oro Carrie',0.3448856770992279,0.5679564476013184,0.5754061341285706,0.5335281491279602
Tennessee Volunteers guard Jordan Bowden (23) and forward Kyle Alexander (11) battle for a rebounded ball with Iowa Hawkeyes forward Nicholas Baer (51) in overtime in the second round of the 2019 NCAA Tournament at Nationwide Arena.,"https://www.gannett-cdn.com/presto/2019/03/24/PIHC/7352a2b8-2cdb-49b1-b187-15b29b2dfc9c-USATSI_12408703.jpg?crop=4816,3606,x215,y0&amp;width=80&amp;height=60&amp;fit=bounds",Tennessee Volontari guardia Jordan Bowden (23) e avanti Kyle Alexander (11) battaglia per una palla rimbalzata con Iowa Occhio di Falco avanti Nicholas Baer (51) in straordinari nel secondo turno del 2019 NCAA Torneo a Nationwide Arena.,Il guardia dei Tennessee Volunteers Jordan Bowden (23) e l'attaccante Kyle Alexander (11) combattono per un pallone rimbalzato con l'attaccante degli Iowa Hawkeyes Nicholas Baer (51) nei tempi supplementari nel secondo turno del torneo NCAA 2019 alla Nationwide Arena.,Guard Jordan Bowden (23) e forward Kyle Alexander (11) combatano per un'ala di palla con forward Nicholas Baer (51) dei Iowa Hawkeyes in overtime nel secondo round del 2019 NCAA Tournament al Nationwide Arena.,0.3324483335018158,0.5651898384094238,0.4873722195625305,0.5338014960289001
MACKINTOSH Single Breasted Coat,https://cdn.lookastic.com/charcoal-overcoat/single-breasted-coat-medium-5205456.jpg,MACKINTOSH Cappotto singolo al seno,MACKINTOSH Cappotto a un pezzo,Coatto a cappuccio single-breasted,0.31437984108924866,0.6997082233428955,0.7123525142669678,0.33142000436782837
latest 2013 Hindu marriage invitation cards|wedding cards desings -Bharatmoms,https://i.pinimg.com/236x/1c/b3/9e/1cb39e22553b6089cd1d263ffbec0137--indian-wedding-invitations-indian-wedding-theme.jpg,più recenti 2013 matrimoni indù biglietti d'invito|carte di matrimonio desings -Bharatmoms,Ultimi 2013 Hindu biglietti di invito di nozze|biglietti di nozze desings -Bharatmoms,"Translation: ""latest 2013 Hindu marriage invitation cards | wedding card designs - Bharatmoms""",0.30697181820869446,0.3849535882472992,0.394571453332901,0.36621537804603577
3 Axles Side Fence Cargo Transport Trailer pictures & photos,http://image.made-in-china.com/43f34j00ZJHQTBYlheqP/3-Axles-Side-Fence-Cargo-Transport-Trailer.jpg,3 assi laterali Fence Cargo Trasporto Trailer Immagini e foto,3 Assi Side Fence Cargo Transport Trailer immagini e foto,3 Assiolo Fienile Cargo Transport Trailer immagini e foto,0.3177317678928375,0.7242900133132935,0.6632549166679382,0.6595662236213684
The Shadow / Batman #2,http://majorspoilers.com/wp-content/uploads/2017/10/ShadowBatman02-02011-A-Daniel-167x250.jpg,L'ombra / Batman #2,L'ombra / Batman #2,La Shadow / Batman #2,0.32589781284332275,0.5044370889663696,0.5044370889663696,0.42969146370887756
"main Level Bedroom in Managers Home - 21281 BELLE GREY LN, UPPERVILLE",http://bright-media02.prd.brightmls.com/bright/images/0000/3044/9771/0898/304497710898_1024_768_WM_Sf0lo3r6qxAzWW5T.jpg,"Main Level Bedroom in Managers Home - 21281 BELLE GREY LN, UpperVILLE","Camera da letto a livello principale in Managers Home - 21281 BELLE GREY LN, UPPERVILLE","Il letto principale nella camera degli amministratori della casa di Managers, 21281 Belle Gray Lane, Upperville.",0.3214150369167328,0.49342674016952515,0.5893635749816895,0.5393281579017639
"Rainbow in the Mist - Whitney, Phyllis A.",https://www.eurobuch.com/cbild/EN_97807/EN_9780786115730_CBILD.JPG,"Arcobaleno nella nebbia - Whitney, Phyllis A.","Arcobaleno nella nebbia - Whitney, Phyllis A.","""Rainbow in the Mist"" di Phyllis A. Whitney",0.33547112345695496,0.5311822295188904,0.5311822295188904,0.5788745284080505
BMW-M6-F13-Tuning-BMW-M-Performance-Zubehoer-04,http://cdn.bimmertoday.de/wp-content/uploads/BMW-M6-F13-Tuning-BMW-M-Performance-Zubehoer-04-100x100.jpg,BMW-M6-F13-Tuning-BMW-M-Performance-Zubehoer-04,BMW M6 F13 - Accessori per il tuning,BMW M6 F13 con un'optional BMW M Performance,0.32787731289863586,0.3837660551071167,0.486829549074173,0.5031355023384094
Kerusso® Auto Coaster - Pray More Worry Less,https://cdn.shopify.com/s/files/1/0012/4121/9131/products/COAS114-Auto-Coaster-Pray-More-Worry-Less-1200_1024x1024.jpg?v=1527285224,Kerusso® Auto Coaster - Pregate di più preoccupatevi di meno,Kerusso® Auto Coaster - Pregare di più preoccuparsi di meno,Prayare più di preoccuparsi,0.3992396593093872,0.3143869936466217,0.36246493458747864,0.3475072383880615
New 2020 Mazda CX-5 Touring,https://f0c07b7681885ffd0f75-623de964bdf7b407046db1204551b0ce.ssl.cf1.rackcdn.com/JM3KFBCM7L0760780/a5114d0f88f88112ec7855c39a663b4d.jpg,Nuovo 2020 Mazda CX-5 Touring,Nuova Mazda CX-5 Touring 2020,Nuovo 2020 Mazda CX-5 Touring,0.302583247423172,0.5853891968727112,0.5893074870109558,0.5853891968727112
Cash Money Heren Schoenen - Heren Sneaker Low - Wit,https://static.webshopapp.com/shops/150182/files/148618286/800x900x2/cash-money-heren-schoenen-heren-sneaker-low-wit.jpg,Denaro in contanti Heren Schoenen - Heren Sneaker Low - Wit,Cash Money Scarpe Uomo - Sneaker Uomo Low - Bianco,"""Cash Money Heren Schoenen - Heren Sneaker Low - Wit""",0.3174021244049072,0.4303264021873474,0.6331713199615479,0.46658432483673096
The Wolf in Underpants.jpg,https://images.squarespace-cdn.com/content/v1/5548f0b6e4b06b185ec452a4/1556644832953-HOXA460DXQ1UKSA846LH/ke17ZwdGBToddI8pDm48kCdLsQPEuQThUyTuyr-jOzpZw-zPPgdn4jUwVcJE1ZvWEtT5uBSRWt4vQZAgTJucoTqqXjS3CfNDSuuf31e0tVFP5oXMA_X9CKI4l_C5Xd6zbs9YxKsz_KCXHjUKLjIVQgvzI9KHVDNuVt7PgYG87hY/The+Wolf+in+Underpants.jpg,Il Lupo in Underpants.jpg,Il lupo in mutande.jpg,Il lupo in underpants.,0.326145201921463,0.40222424268722534,0.4216870069503784,0.3957706391811371
"March 2, 2018 - Apeldoorn, Pays Bas - Filippo Ganna (Credit Image: © Panoramic via ZUMA Press)",https://m.psecn.photoshelter.com/img-get2/I00001U.XWdxytVo/fill=/fit=250x250/I00001U.XWdxytVo.jpg,"2 marzo 2018 - Apeldoorn, Pays Bas - Filippo Ganna (Immagine di credito: © Panoramic via ZUMA Press)","2 marzo 2018 - Apeldoorn, Paesi Bassi - Filippo Ganna (Credit Image: © Panoramic via ZUMA Press)","2 Marzo 2018 - Apeldoorn, Paesi Bassi - Filippo Ganna (Credit Immagine: © Panoramic via ZUMA Press)",0.30744943022727966,0.3366662859916687,0.36341363191604614,0.36680740118026733
"This lightning fast weeknight meal relies on an emulsified sauce to deliver luscious flavor with simple, fresh ingredients - spaghetti, cherry tomatoes, and garlic.",https://i.pinimg.com/236x/7b/4e/05/7b4e059f32239cdba9f411106d775a58--heirloom-tomatoes-cherry-tomatoes.jpg,"Questo fulmine veloce pasto week-night si basa su una salsa emulsionata per fornire gusto lussureggiante con ingredienti semplici e freschi - spaghetti, pomodorini e aglio.","Questo pasto veloce e veloce si basa su una salsa emulsionata per offrire un sapore delizioso con ingredienti semplici e freschi: spaghetti, pomodorini e aglio.","Questo pasto veloce della settimana di fine settimana si basa su una salsa emulsificata per trasportare un sapore lussuoso con ingredienti semplici e freschi - spaghetti, pomodori piccoli e aglio.",0.32735851407051086,0.6879051923751831,0.6971447467803955,0.7008236646652222
Black Wood Coffee Table,https://www.johndickandson.co.uk/media/untitled-16.jpg,Tavolino in legno nero,Tavolino da caffè in legno nero,"""Coffee Table in Black Wood""",0.3067239224910736,0.58653324842453,0.5633305907249451,0.6100166440010071
The Red Room at the White House  decorated for Christmas.,https://i.pinimg.com/236x/31/3f/52/313f520d432186d48ebf0e7f040283db.jpg,La camera rossa alla Casa Bianca decorata per Natale.,La Sala Rossa della Casa Bianca decorata per Natale.,La Sala Rossa alla Casa Bianca decorata per la festa di Natale.,0.36548829078674316,0.629041850566864,0.666766345500946,0.6446417570114136
NATIVE GRILL WINGS EST. 1979,https://mark.trademarkia.com/logo-images/native-grill-and-wings-franchising/native-grill-wings-est-1979-86050936.jpg,NATIVE GRILL WINGS EST. 1979,NATIVE GRILL ALLE EST. 1979,NATIVE GRILL WINGS EST. 1979,0.31865841150283813,0.31090599298477173,0.29725944995880127,0.31090599298477173
Evergreen - Tinta Unica Carry-All Pouch,"https://ctl.s6img.com/society6/img/4Ma8BXxbPKx4mhMWE5Re6Jd31jE/h_264,w_264/carry-all-pouches/small/front/~artwork,fw_4600,fh_3000,fy_-800,iw_4600,ih_4600/s6-original-art-uploads/society6/uploads/misc/c7afa963e92e4ab18485b07383a16090/~~/evergreen-tinta-unica-carry-all-pouches.jpg?wait=0&amp;attempt=0",Evergreen - Tinta Unica Carry-All Pouch,Evergreen - Tinta Unica Borsa da viaggio,Evergreen - Pouch Singola Tinta Unica,0.31358465552330017,0.5785306692123413,0.5862312316894531,0.5676416158676147
Danny Mooney 'Sheltering in Café Nero' 8/2/2014 Digital painting,https://dannymooney.files.wordpress.com/2013/08/danny-mooney-sheltering-in-cafc3a9-nero-8-2-2014-digital-painting1.jpg?w=300,Danny Mooney 'Sheltering in Café Nero' 8/2/2014 Dipingere digitale,Danny Mooney 'Sheltering in Café Nero' 8/2/2014 Pittura digitale,Traduzione dell'intera didascalia: 'Danny Mooney 'Sheltering in Café Nero' 8/2/2014 Disegno a china digital',0.3040577471256256,0.4054037928581238,0.415603369474411,0.45263662934303284
Thriving Vegan Short-Sleeve Unisex T-Shirt - Thrive Any Way,https://cdn.shopify.com/s/files/1/2459/7655/products/mockup-c2f419b0_compact.png?v=1552483958,T-shirt Unisex a maniche corte Vegan - Tremare in qualsiasi modo,Maglietta a maniche corte unisex Thriving Vegan - Thrive Any Way,T-shirt Vegano Thriving - Maggio,0.4111635982990265,0.5927436947822571,0.5784597396850586,0.6176660060882568
Bags Croots City Collection VL03 Drawstring Rucksack Black_alt2,https://www.caseluggage.com/media/catalog/product/cache/1/thumbnail/120x120/9df78eab33525d08d6e5fb8d27136e95/c/r/croot_vl03_black_2.jpg,Borse Croots City Collection VL03 Coulisse con coulisse Nero_alt2,Borse Croots City Collection VL03 Zaino con Cordino Nero_alt2,<noinput>,0.3278844654560089,0.21290989220142365,0.22217510640621185,0.07388217747211456
A right profile photo of the 2019 Honda Accord on the side of the road.,https://cdn-ds.com/media/websites/3680/content/MERH_19Accord_A3_1127_o.jpg?s=140536,Una foto del profilo della Honda Accord 2019 sul lato della strada.,Una foto di profilo destra della Honda Accord 2019 sul lato della strada.,Una fotografia laterale di un 2019 Accord Honda.,0.33093494176864624,0.37757712602615356,0.3565916419029236,0.4534394145011902
Search For The Key Women's V-Neck (Athletic Fit),https://render.fineartamerica.com/images/rendered/medium/t-shirt/30/9/images-medium-5/search-for-the-key-paul-carter.jpg?targetx=80&targety=0&imagewidth=139&imageheight=282&modelwidth=300&modelheight=405,Ricerca per la chiave femminile V-Neck (Athletic Fit),T-shirt con scollo a V per donna (Athletic Fit),Cerca per la chiave Donne V-Collo (Fitness),0.290483683347702,0.26919838786125183,0.51693195104599,0.3020460307598114
Ronin (4/9) Movie CLIP - Kissing in the Car (1998) HD,https://i.ytimg.com/vi/dKoFTEK7O_o/mqdefault.jpg,Ronin (4/9) Film CLIP - Baciare in auto (1998) HD,Ronin (4/9) Movie CLIP - Il bacio della morte (1998) HD,"'Ronin (4/9) Movie CLIP - Kissing in the Car (1998) HD'



<|user",0.3717364966869354,0.585754930973053,0.5921208262443542,0.5215765237808228
Multidimensional real analysis,"http://coverart.oclc.org/ImageWebSvc/oclc/+-+249891005_140.jpg?SearchOrder=+-+OT,OS,TN,GO,FA",Analisi multidimensionale reale,Analisi reale multidimensionale,Multidimensional real analysis,0.30128058791160583,0.431949645280838,0.4380222260951996,0.4036654233932495
Crusader castle Krak des Chevaliers. Stock Photography,https://thumbs.dreamstime.com/t/crusader-castle-krak-des-chevaliers-12789542.jpg,Castello Crociato Krak des Chevaliers. Fotografia dell'archivio,"Crociato, castello, Krak des Chevaliers.",Castello di Crac des Chevaliers. Fotografia Stock,0.3161804676055908,0.4146203100681305,0.4198465049266815,0.3939327895641327
Tailored Pants w Velvet Side Tapes,https://cdn.shopify.com/s/files/1/1709/6929/products/148440-2446-Bright_Green-DTL-FNT_900x.jpg?v=1548847364,Pantaloni su misura w Nastri laterali in velluto,Pantaloni Tailored w Velvet Side Tapes,Pantaloni invernali a tela di seta con tacchi a zampa corti,0.30567723512649536,0.5893551707267761,0.6495810747146606,0.5055731534957886
"Mind Geometry series. Backdrop design of Human profile, math and design elements to provide supporting composition for works on reason, science, technology and education",https://image.shutterstock.com/image-photo/mind-geometry-series-backdrop-design-260nw-218492593.jpg,"Mind Geometry series. Backdrop design di profilo umano, matematica e elementi di design per fornire composizione di supporto per lavori su ragione, scienza, tecnologia e istruzione","Progettazione di sfondo di profilo umano, matematica ed elementi di progettazione per fornire una composizione di supporto per le opere sulla ragione, la scienza, la tecnologia e l'istruzione","Traduzione integrale della didascalia: 'Serie di Geometria del Mente. Disegno di fondo dell'immagine della testa umana, elementi matematici e di design per fornire la composizione supportante per lavori su ragione, scienza, tecnologia e istruzione'",0.3067559599876404,0.5007808208465576,0.5726457238197327,0.49736636877059937
[object object] Audi Paint Protective Solutions Showcase Audi R8 Red XPEL PPF 05 1120x800,https://sydneypremiumdetailing.com.au/wp-content/uploads/2019/06/Audi-R8-Red-XPEL-PPF-05-1120x800.jpg,[oggetto oggetto] Audi Paint Protective Solutions Showcase Audi R8 Red XPEL PPF 05 1120x800,[oggetto oggetto] Audi Soluzioni di Protezione della Vernice Vetrina Audi R8 Rosso XPEL PPF 05 1120x800,'[object object] Protezione della vernice Audi PPF 05 Audi R8 Rosso XPEL 1120x800',0.327338308095932,0.5353043079376221,0.4393649995326996,0.42438942193984985
Featured Art - Daisy meadow by Veikko Suikkanen,http://images.fineartamerica.com/images-small-5/daisy-meadow-veikko-suikkanen.jpg,Arte in evidenza - prato Daisy di Veikko Suikkanen,Arte in vetrina - Prato di margherite di Veikko Suikkanen,<|user,0.32862716913223267,0.6324975490570068,0.6773777008056641,0.16390010714530945
Waiting at the Yarn Store Mug (black) (11oz) - Crafter4Life - 1,https://cdn.shopify.com/s/files/1/1255/8867/products/front_4663fe9f-a496-4f6e-9109-4c54af0b58ee_large.png?v=1475098178,Aspettando alla tazza del negozio di filati (nero) (11 once) - Crafter4Life - 1,Aspettando al negozio di filati Mug (nero) (11oz) - Crafter4Life - 1,Attesa per la mia moglie al negozio di filati (mug nero) (11 oz) - Crafter4Life - 1,0.4351402521133423,0.3622796833515167,0.20911182463169098,0.23586447536945343
Picture of A3 Love Heart personalised poster,https://www.printmysmile.com/-421196420/Handler/Picture/PI/T/0003443_a3_love_heart_personalised_poster_700.png,Immagine di A3 Love Heart poster personalizzato,Immagine di A3 Love Heart poster personalizzato,Racconto di un quadro personalizzato di A3 con il cuore di amore.,0.348978728055954,0.6021345853805542,0.6021345853805542,0.6719378232955933
"Man icon with 300 bonus icons. Vector illustration style is flat iconic bicolor symbols, eco green and gray colors, white background.",https://static1.bigstockphoto.com/thumbs/4/4/1/large2/144386213.jpg,"Icona uomo con 300 icone bonus. Vector stile di illustrazione è piatta simboli iconici bicolore, verde ecologico e colori grigi, sfondo bianco.","Lo stile dell'illustrazione di vettore è simboli bicolori iconici piatti, colori verdi e grigi di eco, sfondo bianco.","Il simbolo dell'uomo con 300 icone di bonus. Stile illustrativo è l'icona bicolore a forma di pennello, colori eco verde e grigio, sfondo bianco.",0.42112794518470764,0.5245884656906128,0.3435983657836914,0.503068745136261
Netpack U-zip Travel Tote,http://img2.wfrcdn.com/lf/49/hash/6519/7145387/1/Netpack-U-zip-Travel-Tote.jpg,Netpack U-zip Travel Tote,Netpack U-zip Borsa da viaggio,'Taschen U-Zip Travel Tote',0.30440884828567505,0.5659086108207703,0.6324315667152405,0.5995597243309021
Engraved jewellery Silver Engraved Heart Pendant 'Love you always',https://static.webshopapp.com/shops/064485/files/033580298/engraved-jewellery-silver-engraved-heart-pendant-l.jpg,Gioielli incisi Argento Ciondolo a cuore inciso 'Love you always',Ciondolo Cuore Inciso in Argento 'Ti amo sempre',Il gioiello in argento con scrittura 'Love you always',0.3405323922634125,0.6623442769050598,0.6650157570838928,0.6046305894851685
Bulova Men's Classic Stainless Steel Watch,https://qvc.scene7.com/is/image/QVC/j/49/j343949.001?$uspdlarge$,Orologio in acciaio inox classico uomo Bulova,Orologio da uomo classico in acciaio inossidabile Bulova,'Bulova Maschio Classico Stiloso in Acciaio',0.3022751212120056,0.6056829690933228,0.618171215057373,0.3568040132522583
Sweet Funny hipster fox with nerd glasses - Snapback Cap,"https://image.spreadshirtmedia.net/image-server/v1/mp/products/T905A461MPA1890PT26X43Y2D16176809S55CxFFFFFF%3AxE35110%3Ax4B1B00/views/1,width=800,height=800,appearanceId=461,backgroundColor=E8E8E8,version=1450275816/sweet-funny-hipster-fox-with-nerd-glasses-snapback-cap.jpg",Dolce volpe hipster divertente con occhiali da nerd - Snapback Cap,Dolce divertente hipster volpe con occhiali nerd - Maglietta Premium da uomo,'Sweet Funny hipster fox with nerd glasses - Snapback Cap',0.38350290060043335,0.5388007164001465,0.5846351385116577,0.4958552122116089
RIC – Simple but flexible,http://image1.slideserve.com/3354679/ric-simple-but-flexible-n.jpg,RIC - Semplice ma flessibile,RIC – Semplice ma flessibile,RIC - Simple but flexible,0.33462420105934143,0.4782576262950897,0.48430296778678894,0.5588366985321045
Camminare Voyager Boots - thermocsizma -30oC méret: 43,http://www.xfish.hu/tportal_upload/webshop_13/indexes400/85cam.jpg,Stivali Caminare Voyager - termocizma -30oC méret: 43,Camminare Voyager Boots - stivali termici -30oC misura: 43,Camminare Voyager Boots - thermocsizma -30°C - 43,0.3630036413669586,0.45825815200805664,0.615436851978302,0.2541022300720215
Tiny STAR WARS Yoda Terry Cloth Luca Slip-On,https://cdn.shopify.com/s/files/1/1463/3364/products/10014526-OliveStarWarsYodaTerryClothTinyLuca_P_1450x1015_fbd9e318-19ed-4d4d-855f-1dca38d66a71_500x.png?v=1589851260,Tiny STAR WARS Yoda Terry Panno Luca Slip-On,Tiny STAR WARS Yoda Terry Cloth Luca Scarpe senza lacci,'Piccola scarpa Star Wars Yoda Terry in cotone Luca Slip-On',0.3582953214645386,0.4065777063369751,0.5774071216583252,0.6298820376396179
Disney Magic in Villefranche,https://cruise.blog/sites/default/files/styles/large/public/2020-08/316_villefranche_41976.jpg?itok=MumnbCC1,Disney Magic in Villefranche,Disney Magic a Villefranche,Disney Magic a Villefranche,0.35119301080703735,0.23112556338310242,0.24207083880901337,0.24207083880901337
Free Best Western Hotel Credit Card Authorization Form   PDF | EForms U2013  Free Fillable Forms,https://eforms.com/images/2017/03/Best-Western-Hotel-Credit-Card-Authorization-Form-791x1024.png,Modulo gratuito di autorizzazione della carta di credito Best Western Hotel PDF | EForms U2013 moduli riempibili gratuiti,Free Best Western Hotel Credit Card Authorization Form   PDF | EForms U2013  Free Compilabile Forms,"""Forma di autorizzazione gratuita per carta di credito Best Western Hotel""",0.33222320675849915,0.6549476981163025,0.6579091548919678,0.5316552519798279
Early 2000's B-Sides by DJ Assault,https://direct.rhapsody.com/imageserver/images/Alb.209075436/500x500.jpg,All'inizio del 2000 B-Sides di DJ Assault,Early 2000's B-Sides da DJ Assault,'B-Sides degli anni 2000 da DJ Assault',0.339102178812027,0.30263200402259827,0.36724022030830383,0.39810508489608765
mini store gradesaver khaled hosseini collection 3 books set and the mountains echoed a thousand splendid suns the kite runner,https://images-na.ssl-images-amazon.com/images/I/51SjiJHJPZL.jpg,mini negozio gradesaver chhaled hosseini collezione 3 libri set e le montagne riecheggiano mille splendidi soli il corridore aquilone,gradesaver khaled hosseini collection 3 libri set e le montagne riecheggiavano mille splendidi soli il corridore dell'aquilone,Traduzione in italiano della didascalia:'mini store gradesaver khaled hosseini collezione 3 libri a set e i monti hanno echeggiato mille sole splendenti',0.3840353488922119,0.5208224058151245,0.5371794104576111,0.42668330669403076
Multiple photos of the exterior of the party barn and outdoor rental space,"https://popmenucloud.com/cdn-cgi/image/height=1440,width=1440,quality=30,fit=scale-down,format=auto/ckyszxjh/054d7327-34d2-4240-8511-1f999f779361.jpg",Multiple foto dell'esterno del fienile festa e spazio per il noleggio all'aperto,Più foto dell'esterno del fienile del partito e dello spazio di noleggio all'aperto,Variazioni multiple delle foto dall'esterno del baracchino di feste e spazi di noleggio all'aperto,0.2834390699863434,0.5985036492347717,0.5889348983764648,0.6621392369270325
Serenity Lassoed My Heart Kids Baseball Jersey,https://i3.cpcache.com/product/621983835/serenity_lassoed_my_heart_kids_baseball_jersey.jpg?side=Front&color=BlackWhite&height=150&width=150,Serenity Lassoed My Heart Kids Baseball Jersey,Serenity Lassoed My Heart Maglietta per bambino,'Serenity Lassoed My Heart Kids Baseball Jersey',0.373710036277771,0.41631048917770386,0.5675278902053833,0.41449010372161865
The North Face The North Face Litewave TR II Shoes - Women's,https://static.webshopapp.com/shops/256929/files/178462760/500x350x2/the-north-face-the-north-face-litewave-tr-ii-shoes.jpg,La parete nord La parete nord Litewave TR II Scarpe - Donna,Scarpe The North Face Litewave TR II - Donna - Nero,'The North Face The North Face Litewave TR II Shoes - Women's',0.3470410406589508,0.5032293200492859,0.6338983774185181,0.6306431889533997
